nombre;lat;lon;msnm;url
abopac;09°53'41'';-84°38'44'';94;https://www.imn.ac.cr/especial/estacionAbopac.html
adifort;10°28'03'';-84°38'49'';266;https://www.imn.ac.cr/especial/estacionfortuna.html
aero zona norte;10°29'34.8'';-84°25'16.3'';76;https://www.imn.ac.cr/especial/estacionAeropzn.html
daniel oduber;10°35'20'';-85°33'08'';78;https://www.imn.ac.cr/especial/estacionLiberia.html
daniel oduber p25;10°35'36'';-85°32'16'';82;https://www.imn.ac.cr/especial/estacionLiberia25.html
juan santamaria;09°59'21'';-84°13'6'';897;https://www.imn.ac.cr/especial/estacioncoco.html
juan santamaria p25;09°59'43'';-84°12'7'';917;https://www.imn.ac.cr/especial/estacioncoco25.html
juan santamaria media;09°59'27'';-84°12'52'';900;https://www.imn.ac.cr/especial/estacioncocomp.html
aeropuerto limon;09°57'43'';-83°01'31'';5;https://www.imn.ac.cr/especial/estacionlimon.html
tobias bolaños p9;09°58'24'';-84°08'22'';997;https://www.imn.ac.cr/especial/estacionAitbp09.html
tobias bolaños 25;09°58'24'';-84°08'22'';1002;https://www.imn.ac.cr/especial/estacionPavas.html
alfredo volio;09°54'31'';-83°57'17.2;1592;https://www.imn.ac.cr/especial/estacionAlfredoVolio.html
parque la amistad;09°01'45'';-83°00'28'';1370;https://www.imn.ac.cr/especial/estacionAltamira.html
alto tablazo;09°50'12'';-84°03'18'';1609;https://www.imn.ac.cr/especial/estaciontablazo.html
aranjuez;10°03'21'';-84°48'25'';30;https://www.imn.ac.cr/especial/estacionAranjuez.html
arunachala;09°24'35.7'';-83°49'56.1'';1107;https://www.imn.ac.cr/especial/estacionArunachala.html
artola asada;10°30'24'';-85°41'45;65;https://www.imn.ac.cr/especial/estacionSardinal.html
guayabo asada;10°42'54'';-85°12'4'';787;https://www.imn.ac.cr/especial/estacionGuayabo.html
pilangosta asada;10°01'55'';-85°24'21'';374;https://www.imn.ac.cr/especial/estacionPilangosta.html
asada san gabriel;09°47'14'';-84°06'19'';1317;https://www.imn.ac.cr/especial/estacionSangabriel.html
san jose santa cruz;10°12'11'';-85°42'11'';670;https://www.imn.ac.cr/especial/estacionSJMontana.html
san rafael asada;10°41'10'';-84°54'37'';160;https://www.imn.ac.cr/especial/estacionGuatuso.html
santa marta asada;09°55'47'';-85°25'49'';100;https://www.imn.ac.cr/especial/estacionStaMarta.html
balsa;10°10'28'';-84°29'49'';1113;https://www.imn.ac.cr/especial/estacionBalsa.html
barco garza;09°54'58'';-85°36'52'';85;https://www.imn.ac.cr/especial/estacionGarza.html
baru;09°16'17'';-83°52'53'';5;https://www.imn.ac.cr/especial/estacionBaru.html
belen;09°58'30'';-84°11'8'';926;https://www.imn.ac.cr/especial/estacionBelen.html
betania;10°38'40'';-84°22'55.5'';89;https://www.imn.ac.cr/especial/estacionBetania.html
cabuya;09°35'37.8'';-85°05'35.8'';14;https://www.imn.ac.cr/especial/estacionCabuya.html
cafetalera giro san vito;08°49'05'';-82°58'16'';1011;https://www.imn.ac.cr/especial/estacionGiro.html
cafetalera indio san viro;08°49'58'';-82°57'10'';1015;https://www.imn.ac.cr/especial/estacionSanVito.html
canta gallo;10°29'49'';-83°40'16.7'';31;https://www.imn.ac.cr/especial/estacionCantagallo.html
caramba farms;10°16'7'';-83°44'47'';113;https://www.imn.ac.cr/especial/estacionRoxana.html
catie;09°53'29'';-83°39'11'';610;https://www.imn.ac.cr/especial/estacionCatie.html
cerro buena vista;09°33'36'';-83°45'13'';3400;https://www.imn.ac.cr/especial/estacionCM.html
burio;09°50'25'';-84°06'45'';1811;https://www.imn.ac.cr/especial/estacionBurio.html
chitaria;09°53'30'';-84°11'37.3'';1717;https://www.imn.ac.cr/especial/estacionchitaria.html
chirripo;09°27'33.7'';-83°30'29.3'';3564;https://www.imn.ac.cr/especial/estacionChirripo.html
huacalito;10°23'35'';-85°24'46'';65;https://www.imn.ac.cr/especial/estacionHuacalito.html
cerro juco;09°46'31.5'';-83°51'53.1'';1735;https://www.imn.ac.cr/especial/estacionJuco.html
chaguites;10°04'46'';-84°09'51.1'';1486;https://www.imn.ac.cr/especial/estacionChaguites.html
cigefi;09°56'11'';-84°02'43'';1210;https://www.imn.ac.cr/especial/estacionCigefi.html
ciudad ninos;09°50'03'';-83°55'16'';1338;https://www.imn.ac.cr/especial/estacionCiudadninos.html
judicial;10°00'25'';-84°09'50'';1023;https://www.imn.ac.cr/especial/estacionJudicial.html
comando sarapiqui;10°26'42.5'';-84°00'18.2'';48;https://www.imn.ac.cr/especial/estacionSarapiqui.html
coopevega;10°43'12'';-84°23'59'';88;https://www.imn.ac.cr/especial/estacionCoopevega.html
copalchi;11°12'00.1'';-85°37'6.9'';58;https://www.imn.ac.cr/especial/estacionCopalchi.html
coto 49;08°37'52.4'';-82°58'01'';19;https://www.imn.ac.cr/especial/estacionCoto49.html
earth;10°12'35'';-83°35'39'';30;https://www.imn.ac.cr/especial/estacionearth.html
tirimbina;10°25'2'';-84°07'31.3'';510;https://www.imn.ac.cr/especial/estacionTirimbina.html
el ceibo;10°19'38.9'';-84°04'43.1'';526;https://www.imn.ac.cr/especial/estacionCeibo.html
palo verde;10°20'51'';-85°21'4'';10;https://www.imn.ac.cr/especial/estacionpaloverde.html
el rodeo;09°40'34.4'';-84°01'06.3'';1647;https://www.imn.ac.cr/especial/estacionTarrazu.html
fabio baudrit;10°00'18'';-84°15'56'';840;https://www.imn.ac.cr/especial/estacionFABIO.html
brasilia del oro;10°58'59.7'';-85°20'50'';381;https://www.imn.ac.cr/especial/estacionBrasilia.html
damas;09°29'43'';-84°12'53'';12;https://www.imn.ac.cr/especial/estacionDamas.html
el carmen;10°11'58'';-83°28'53'';21;https://www.imn.ac.cr/especial/estacionElcarmen.html
puerto jimenez;08°36'3.5'';-83°25'52.2'';19;https://www.imn.ac.cr/especial/estacionJimenez.html
la ceiba;10°06'40.90'';-85°19'3.4'';64;https://www.imn.ac.cr/especial/estacionLaCeiba.html
macayas;09°58'7'';-83°58'16.6'';1685;https://www.imn.ac.cr/especial/estacionMacaya.html
neotropica;08°41'59'';-83°30'51'';66;https://www.imn.ac.cr/especial/estacionNeotropica.html
